"Experiment","parent1","Code_ID","Variety_ID","Accession_ID","geno.panel","grain.yield","grain.number","seed.size","anthesis","silking","plant.height","tassel.height","ear.height","type"
"Bol12R","B73_inra",3001,"B73","B73_H","DROPS",3.1590233775,1825.5245774144,174.9523625669,66.9378669488,73.5002131635,189.1917508011,242.5875442211,101.0284980914,NA
"Bol12R","PH207_usda",3002,"PH207","PH207_H","DROPS",3.2188049945,1428.0880451715,226.8802324187,63.3702173692,68.5359644499,185.4705248732,239.4019519879,97.7519630507,NA
"Bol12R","Oh43_inra",3003,"Oh43","Oh43_H","DROPS",3.4630791405,1879.5729642786,182.9189092138,65.7688479265,73.5747290953,194.5270878925,244.1690150634,94.4318046885,NA
"Bol12R","W64A_inra",3004,"W64A","W64A_H","DROPS",2.7641927634,1453.1357318276,198.6247085424,63.7963221376,71.3115581604,180.7025314813,236.1710080804,94.9735286936,NA
"Bol12R","Oh33_inra",3005,"Oh33","Oh33_H","DROPS",1.8138525165,1049.4362241012,181.3103299725,66.2103679269,74.7047640639,190.2073035414,244.3020422838,98.6451525855,NA
"Bol12R","EZ47_csic",3006,"EZ47","EZ47_H","DROPS",1.5369407902,683.285948007,226.9105295456,65.0482903783,76.4378637056,186.2723395538,242.4930531552,86.8878074188,NA
"Bol12R","MS153_inra",3007,"MS153","MS153_H","DROPS",3.4264943474,1601.3885399311,215.1035621617,64.6315144918,72.0895716972,190.1043405444,246.038386258,111.1176391662,NA
"Bol12R","A310_inra",3008,"A310","A310_H","DROPS",3.7972586104,1750.6878435639,211.8899416186,65.2163271813,65.3132402633,204.8874859552,250.7813173807,117.4799524083,NA
"Bol12R","B84_inra",3009,"B84","B84_H","DROPS",2.3969452184,1368.6096642733,184.5675287302,70.3599343563,78.2759268433,199.6712853595,253.7070501547,111.8936485887,NA
"Bol12R","F894_inra",3010,"F894","F894_H","DROPS",2.080358394,945.7542072643,186.9745515719,74.691922936,85.6502798972,199.9013196448,240.2194930935,98.3110132069,NA
"Bol12R","F912_inra",3011,"F912","F912_H","DROPS",2.1450521452,1028.3346885378,188.8064057109,66.1957699884,74.0723907071,180.3882680444,232.5123781776,89.0956506576,NA
"Bol12R","B105_inra",3012,"B105","B105_H","DROPS",2.1012749642,1048.141827097,220.6900274266,65.963544525,74.6225187781,190.1092559125,244.2775497456,93.4781690335,NA
"Bol12R","A347_inra",3013,"A347","A347_H","DROPS",2.6596163924,1391.1852648755,192.3074613585,70.8545173703,70.9808801091,200.7616917482,251.9433119477,109.8255743971,NA
"Bol12R","EP52_csic",3014,"EP52","EP52_H","DROPS",3.1202101299,1536.7261995742,202.1551666213,67.8867936128,74.4077100408,197.8972706518,246.476034007,105.4424992432,NA
"Bol12R","F7028_inra",3015,"F7028","F7028_H","DROPS",3.1248912137,1975.7091933246,155.8442038081,68.4635800982,73.7408819085,193.9695882719,246.3258160539,102.4797215399,NA
"Bol12R","FC1890_inra",3016,"F1890","F1890_H","DROPS",4.3235731406,1962.7261449986,218.4746867115,66.5466115176,69.2564967497,189.3491778703,249.2100804392,103.5962964774,NA
"Bol12R","A374_inra",3017,"A374","A374_H","DROPS",3.7573575023,2357.8797864092,163.2359548526,67.6490765412,72.4298361686,196.3993580543,250.3554925527,104.488689137,NA
"Bol12R","FR19_usda",3018,"FR19","FR19_H","DROPS",2.5596050079,1441.292878151,173.8274740239,66.5482871686,71.4058415507,193.8773225115,248.6795871527,95.7252752809,NA
"Bol12R","B100_uh",3019,"B100","B100_H","DROPS",1.9501393537,928.6070887171,208.6887812003,69.7856427216,74.0763432337,187.4007802633,253.4007872947,98.1364900998,NA
"Bol12R","EZ11A_csic",3020,"EZ11A","EZ11A_H","DROPS",3.1433075115,1520.5699747194,206.9158032402,67.7918867658,74.1166715263,204.5512960874,270.3710715424,105.2231070429,NA
